page,url,error,timestamp
138,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/138,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.700533
147,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/147,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.097625
151,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/151,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.112648
152,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/152,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.138928
154,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/154,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.155953
149,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/149,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.156958
156,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/156,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.156958
160,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/160,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.157955
159,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/159,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.157955
141,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/141,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.215013
